"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatine..132.1...90.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"1","395687.6","26113.65"," 238707.58","16078.836"," 63077.41","426089.3","125174.65"," 146990.90","1817066.5"," 460384.5","  33775.632"," 14186.858"," 100176.96"," 4771924"," 79534.32","1915101"," 54342.30","215821.4"," 21891.626","26369283"," 710426.4","1613650.9","57065957","155581.11","139561.41"," 6720093"," 667543.2"," 8727833","18141408","12773946"," 269514.28"," 9046.936","286779.7","12498.132"," 73916.831"," 976488.4"," 758981.9"," 113319.53","203953.4","579223.5","185390.77"," 923729.7"," 118709.65","3623209","496886.7","31187.81","540561.79","42988555","1344904.7","36397768"," 329314.1"," 48603.67"," 252271.5","174687.13","226029.94","  625096.991","  76683.790","39610.20","  6677.667","29596538","1431978.9","1183770.6","1716714.3","1525593.1","  85878.66","  89054.02"," 42592.153"," 36507.17","14904168","22161389"," 60219.439"," 867617.1"," 57115.84"," 7704418"," 2720681","3229726"," 5610338"," 92817.12"," 370444.6","1104681.2","23841.547","1263557.0"," 71570.274"," 96695.68","4094303","  66409.28"," 51447.23"," 349743.2","308850.30","131631.78"," 9537700","32662886","10811.744"," 45732.00","104429.16"," 82706.46","165904.78","28680.844","2501619","10383149.1","108721.95","2042026"," 811425.2","195143.9","11436701.5","2328562.6","2967606","71760851","19890.480","2181806"," 1037626.8","  17924.823"," 69010.09"
"a","286779.7","51447.23"," 146990.90","16078.836"," 60219.44","426089.3"," 96695.68","  45732.00","1716714.3"," 329314.1","  36507.168"," 14186.858","  63077.41"," 8727833"," 48603.67","1613651"," 76683.79","226029.9"," 23841.547","18141408"," 923729.7","1431978.9","36397768","203953.43","131631.78","14904168"," 579223.5"," 9537700"," 7704418","11436701"," 165904.78","12498.132","252271.5","26113.646"," 31187.808","1037626.8","1263557.0","  19890.48","238707.6","460384.5","174687.13"," 811425.2","  85878.66","2501619","667543.2","33775.63","540561.79","42988555","2042025.7","32662886"," 395687.6"," 39610.20"," 195143.9","625096.99","215821.41","  496886.703","  89054.018","54342.30"," 21891.626","26369283","1183770.6"," 758981.9"," 867617.1","4094303.2"," 185390.77","  79534.32","113319.532"," 73916.83","22161389","29596538"," 42592.153"," 710426.4"," 82706.46","10383149"," 3623209","1915101"," 2181806"," 69010.09"," 976488.4","1525593.1","10811.744"," 370444.6","269514.283"," 66409.28","6720093","  71570.27","100176.96"," 308850.3","125174.65","108721.95","12773946","57065957"," 6677.667"," 57115.84","139561.41"," 92817.12","118709.65","17924.823","2967606"," 1104681.2","104429.16","1344905","1817066.5","349743.2"," 4771923.9","5610338.3","3229726","71760851","28680.844","2720681"," 2328562.6","   9046.936","155581.11"
"3","349743.2","23841.55"," 395687.64","14186.858"," 57115.84","286779.7"," 51447.23"," 155581.11","2720680.7"," 976488.4","  17924.823","  6677.667","  60219.44"," 6720093","104429.16","1183771"," 42592.15","195143.9"," 36507.168","11436701"," 540561.8","1263557.0","36397768","131631.78"," 76683.79"," 7704418","1344904.7"," 4094303"," 2181806","14904168"," 269514.28","21891.626","215821.4","10811.744"," 45732.003"," 923729.7"," 667543.2","  63077.41","185390.8","308850.3"," 96695.68"," 710426.4","  79534.32","1915101","460384.5","31187.81","496886.70","71760851","2328562.6","29596538"," 329314.1"," 54342.30"," 238707.6","125174.65","139561.41","  625096.991"," 203953.434","39610.20","  9046.936","18141408","1104681.2"," 811425.2","1037626.8","1817066.5"," 252271.47"," 174687.13"," 89054.018"," 71570.27","32662886","26369283"," 28680.844"," 579223.5","118709.65"," 5610338"," 8727833","1525593","10383149"," 69010.09"," 370444.6"," 867617.1","26113.646"," 226029.9"," 33775.632"," 73916.83","2501619","3623209.39","100176.96"," 426089.3"," 92817.12","108721.95","12773946","42988555","16078.836","146990.90"," 82706.46"," 85878.66","113319.53","12498.132","1431979"," 4771923.9"," 48603.67","1613651"," 758981.9","165904.8"," 9537700.2","2967606.0","2042026","57065957","19890.480","1716714","22161388.9","3229726.224"," 66409.28"
"4","226029.9","45732.00"," 108721.95","21891.626"," 66409.28","370444.6"," 90935.57"," 118709.65","1431978.9"," 286779.7","  26113.646"," 16078.836"," 131631.78"," 9537700"," 42592.15","1716714","146990.90","269514.3"," 12498.132","22161389"," 710426.4","1037626.8","42988555","174687.13","104429.16","14904168"," 329314.1","10383149"," 7704418","12773946"," 113319.53","28680.844","203953.4","14186.858"," 17924.823"," 923729.7"," 976488.4","  36507.17","252271.5","426089.3","195143.87"," 867617.1","  71570.27","5610338","496886.7","33775.63","395687.64","32662886","2967606.0","29596538"," 540561.8"," 57115.84"," 215821.4","579223.45","308850.30"," 2042025.712"," 625096.991","60219.44","  6677.667","18141408","1344904.7","1525593.1","1263557.0","1613650.9","2720680.67","  96695.68"," 19890.480"," 69010.09","26369283","36397768"," 51447.231"," 667543.2"," 82706.46","11436701"," 6720093","4771924"," 2328563"," 79534.32"," 811425.2","1183770.6"," 9046.936"," 238707.6"," 90935.570"," 63077.41","3229726","  54342.30"," 85878.66"," 460384.5"," 73916.83","165904.78"," 8727833","57065957","10811.744"," 39610.20","139561.41","155581.11","125174.65","48603.666","2181806","  185390.8","100176.96","3623209","1104681.2","349743.2"," 2501618.8","1915101.2","1817067","71760851","31187.808","4094303","  758981.9","  23841.547"," 76683.79"
"5","460384.5","36507.17"," 146990.90","16078.836","113319.53","370444.6"," 85878.66","  57115.84","2967606.0"," 496886.7","  21891.626"," 42592.153"," 125174.65"," 8727833"," 92817.12","1915101"," 54342.30","185390.8"," 39610.198","18141408"," 867617.1","1525593.1","29596538","100176.96"," 96695.68"," 9537700"," 811425.2","12773946"," 5610338","11436701","  60219.44","14186.858","174687.1"," 9046.936","  6677.667","1104681.2"," 426089.3","  31187.81","215821.4","308850.3","104429.16","1037626.8"," 540561.79","1431979","667543.2","26113.65","349743.15","57065957","2328562.6","26369283"," 238707.6"," 48603.67"," 286779.7","131631.78","226029.94","  710426.425"," 139561.408","33775.63"," 71570.274","14904168"," 976488.4"," 625097.0","1183770.6","2501618.8"," 923729.70"," 155581.11","203953.434"," 63077.41","42988555","22161389"," 28680.844"," 579223.5"," 69010.09"," 6720093"," 4771924","1344905"," 4094303"," 45732.00"," 758981.9","1263557.0","12498.132"," 269514.3"," 51447.231"," 73916.83","2720681","  79534.32","165904.78"," 195143.9"," 66409.28","118709.65","10383149","32662886","10811.744","252271.47"," 89054.02","329314.09"," 82706.46","19890.480","3229726","71760851.4"," 76683.79","2181806","1716714.3","395687.6"," 7704418.2","3623209.4","1817067","36397768","17924.823","2042026"," 1613650.9","  23841.547","108721.95"
"6","349743.2","33775.63"," 125174.65"," 9046.936"," 85878.66","370444.6"," 69010.09"," 308850.30","1613650.9"," 395687.6","  17924.823"," 73916.831","  48603.67"," 4771924","104429.16","1716714"," 51447.23","203953.4"," 76683.790","18141408"," 811425.2","1915101.2","29596538","155581.11","108721.95"," 9537700"," 579223.5"," 5610338","12773946"," 8727833","  89054.02","14186.858","174687.1","10811.744"," 19890.480"," 976488.4","1183770.6","  26113.65","195143.9","286779.7"," 96695.68"," 923729.7"," 710426.42","1431979","496886.7","28680.84","460384.47","71760851","6720092.7","32662886"," 269514.3"," 79534.32"," 625097.0"," 92817.12","131631.78","  758981.936"," 329314.091","66409.28","  6677.667","11436701","1344904.7"," 667543.2","1263557.0","1817066.5"," 540561.79"," 185390.77"," 16078.836"," 57115.84","42988555","36397768"," 39610.198"," 426089.3"," 54342.30","10383149"," 4094303","1104681"," 2967606"," 60219.44"," 867617.1","1525593.1","12498.132"," 139561.4"," 42592.153","118709.65","3229726","  71570.27","165904.78"," 215821.4","146990.90","113319.53","14904168","26369283","21891.626","238707.58"," 45732.00","226029.94"," 63077.41","36507.168","2328563","22161388.9"," 82706.46","2501619","1037626.8","252271.5"," 7704418.2","3623209.4","2181806","57065957","23841.547","2720681"," 2042025.7","  31187.808","100176.96"
"b","540561.8","42592.15"," 165904.78"," 6677.667"," 82706.46","426089.3"," 71570.27"," 238707.58","1613650.9"," 710426.4","  21891.626"," 60219.439"," 174687.13"," 8727833"," 85878.66","1525593"," 36507.17","269514.3"," 48603.666","22161389"," 625097.0","1183770.6","32662886","131631.78","113319.53"," 6720093"," 976488.4","10383149"," 7704418"," 9537700"," 104429.16"," 9046.936","226029.9","28680.844"," 26113.646"," 923729.7","1431978.9","  19890.48","252271.5","460384.5","108721.95","1037626.8"," 349743.15","1915101","579223.5","14186.86","118709.65","71760851","2181805.5","26369283"," 496886.7"," 79534.32"," 395687.6","195143.87","125174.65","  329314.091","  45732.003","54342.30"," 39610.198","18141408","1263557.0"," 758981.9"," 867617.1","2042025.7","  96695.68","  63077.41","155581.114"," 31187.81","42988555","29596538"," 33775.632"," 667543.2"," 92817.12","11436701"," 4771924","1817067"," 5610338"," 66409.28"," 811425.2","1104681.2","10811.744"," 203953.4"," 23841.547"," 73916.83","4094303","  69010.09","139561.41"," 286779.7","146990.90","185390.77","12773946","36397768","17924.823","308850.30"," 57115.84","215821.41"," 76683.79","51447.231","2501619","14904167.7"," 89054.02","2328563","1344904.7","370444.6"," 2967606.0","3623209.4","2720681","57065957","16078.836","3229726"," 1716714.3","  12498.132","100176.96"
"8","395687.6","36507.17"," 174687.13","12498.132"," 85878.66","349743.2"," 71570.27"," 269514.28","1915101.2"," 426089.3","  66409.277"," 96695.685"," 113319.53"," 5610338"," 89054.02","2042026"," 33775.63","215821.4"," 76683.790","12773946"," 579223.5"," 867617.1","42988555","165904.78","104429.16"," 6720093"," 540561.8"," 9537700","29596538"," 8727833"," 252271.47","14186.858","155581.1","92817.123"," 28680.844"," 976488.4","1716714.3","  23841.55","226029.9","329314.1","131631.78","1037626.8"," 308850.30","1525593","667543.2","19890.48","139561.41","57065957"," 923729.7","36397768"," 496886.7"," 39610.20"," 286779.7","203953.43","195143.87","   79534.316","  17924.823","54342.30","125174.647","14904168","1344904.7"," 758981.9","1183770.6","2328562.6","1104681.19","  60219.44","460384.472"," 21891.63","32662886","26369283"," 73916.831"," 811425.2"," 57115.84","10383149"," 4771924","1431979","11436701"," 42592.15"," 710426.4","1263557.0"," 6677.667"," 625097.0"," 45732.003"," 51447.23","3229726","  48603.67","118709.65"," 370444.6","238707.58","146990.90"," 7704418","18141408","16078.836"," 10811.74"," 69010.09","108721.95"," 63077.41","26113.646","2720681","22161388.9"," 82706.46","2501619","1817066.5","185390.8"," 2967606.0","3623209.4","2181806","71760851","31187.808","4094303"," 1613650.9","   9046.936","100176.96"
"9","496886.7","26113.65"," 203953.43"," 9046.936","113319.53","370444.6"," 85878.66","2328562.60"," 867617.1"," 625097.0","  14186.858"," 31187.808"," 226029.94"," 5610338","125174.65","1716714"," 45732.00","252271.5"," 92817.123","12773946"," 579223.5","1104681.2","32662886","165904.78"," 96695.68"," 7704418"," 710426.4"," 8727833","11436701"," 6720093","  69010.09"," 6677.667","238707.6","19890.480"," 63077.407"," 923729.7","2181805.5","  16078.84","269514.3","349743.2","185390.77","1183770.6"," 395687.64","1915101","667543.2","23841.55","155581.11","71760851","2720680.7","26369283"," 426089.3"," 73916.83"," 460384.5","174687.13","100176.96","  104429.164","  28680.844","51447.23"," 33775.632","14904168","1344904.7"," 811425.2","1431978.9","1613650.9","  57115.84"," 118709.65","139561.408"," 36507.17","36397768","29596538"," 60219.439","1037626.8"," 54342.30","10383149"," 4094303","1817067","42988555"," 48603.67"," 540561.8","1263557.0","10811.744"," 286779.7"," 39610.198","108721.95","4771924","  89054.02","131631.78"," 308850.3"," 82706.46","195143.87"," 9537700","22161389","12498.132","146990.90"," 66409.28","215821.41"," 79534.32","42592.153","2501619","18141408.4"," 71570.27","1525593"," 758981.9","329314.1"," 3229726.2","2967606.0","2042026","57065957","21891.626","3623209","  976488.4","  17924.823"," 76683.79"
"10","625097.0","17924.82"," 286779.69"," 6677.667"," 69010.09","308850.3"," 71570.27"," 146990.90","1817066.5"," 540561.8","  21891.626"," 51447.231"," 329314.09"," 3623209","139561.41","1104681"," 54342.30","195143.9"," 89054.018","18141408"," 370444.6","1431978.9","42988555"," 96695.68"," 73916.83","14904168"," 710426.4"," 9537700"," 6720093","22161389"," 226029.94","66409.277","203953.4","26113.646"," 82706.457","1183770.6"," 496886.7","  42592.15","185390.8","349743.2","131631.78","1344904.7","4771923.94","3229726","758981.9","10811.74","252271.47","57065957","2328562.6","26369283"," 460384.5"," 63077.41"," 395687.6","125174.65","100176.96"," 1613650.945"," 215821.411","39610.20","  9046.936","12773946","1525593.1","1037626.8"," 667543.2","1263557.0"," 811425.23","  60219.44"," 31187.808"," 45732.00","36397768","29596538"," 14186.858"," 155581.1","113319.53"," 8727833"," 5610338","2967606"," 2181806"," 48603.67"," 426089.3"," 923729.7","19890.480"," 165904.8"," 33775.632"," 57115.84","2501619"," 269514.28"," 92817.12"," 579223.5","174687.13","104429.16","11436701","32662886","16078.836"," 28680.84"," 79534.32","238707.58"," 76683.79","23841.547","1716714","10383149.1","108721.95","2042026"," 867617.1","118709.6"," 7704418.2","2720680.7","4094303","71760851","12498.132","1915101","  976488.4","  36507.168"," 85878.66"
"12","395687.6","12498.13","  92817.12","10811.744"," 82706.46","329314.1"," 69010.09"," 195143.87","1817066.5"," 460384.5","  23841.547"," 57115.836"," 165904.78"," 6720093"," 71570.27","1613651"," 39610.20","238707.6","174687.132","14904168"," 758981.9","1525593.1","42988555","100176.96","108721.95"," 9537700"," 667543.2","18141408","10383149","11436701"," 118709.65","21891.626","252271.5","19890.480"," 51447.231"," 811425.2"," 976488.4","  26113.65","215821.4","370444.6"," 89054.02","1037626.8"," 426089.28","1183771","625097.0","33775.63","203953.43","71760851","2328562.6","29596538"," 349743.2"," 66409.28"," 496886.7","226029.94","155581.11"," 7704418.219","2720680.667","36507.17","  6677.667","22161389","1104681.2"," 540561.8","2042025.7"," 923729.7","  60219.44","  96695.68","  9046.936"," 45732.00","36397768","26369283"," 54342.302"," 710426.4"," 85878.66"," 8727833"," 5610338","1344905"," 2967606"," 42592.15"," 867617.1","1263557.0","16078.836"," 185390.8"," 31187.808"," 76683.79","4771924","  73916.83","104429.16"," 286779.7","139561.41","131631.78","12773946","32662886","17924.823","125174.65"," 79534.32","269514.28"," 63077.41","48603.666","2501619"," 4094303.2","146990.90","1716714"," 579223.5","308850.3"," 2181805.5","3623209.4","3229726","57065957","14186.858","1915101"," 1431978.9","  28680.844","113319.53"
"c","329314.1","45732.00"," 118709.65","10811.744"," 92817.12","349743.2"," 85878.66","1716714.28","1431978.9"," 395687.6","  33775.632"," 54342.302"," 185390.77"," 5610338"," 63077.41","2328563"," 31187.81","215821.4"," 42592.153","14904168"," 540561.8","1263557.0","42988555","131631.78","100176.96"," 9537700"," 625097.0","10383149","12773946"," 6720093","  48603.67","16078.836","195143.9","17924.823","125174.647","1037626.8"," 758981.9"," 426089.28","203953.4","370444.6","113319.53","1344904.7"," 286779.69","2042026","811425.2","26113.65","146990.90","71760851","3229726.2","26369283"," 308850.3"," 73916.83"," 269514.3","155581.11","252271.47","  460384.472","  23841.547","28680.84"," 89054.018","11436701"," 867617.1"," 579223.5"," 923729.7","1817066.5"," 710426.42","  57115.84","174687.132"," 39610.20","29596538","18141408"," 51447.231","1183770.6"," 36507.17"," 7704418"," 2967606","2181806","32662886"," 79534.32"," 496886.7","1104681.2"," 9046.936"," 667543.2"," 21891.626"," 76683.79","4771924","  96695.68","108721.95"," 226029.9"," 82706.46","139561.41"," 8727833","36397768"," 6677.667","165904.78"," 60219.44","104429.16"," 66409.28","19890.480","4094303","22161388.9"," 69010.09","1525593","1613650.9","238707.6"," 3623209.4","2720680.7","2501619","57065957","12498.132","1915101","  976488.4","  14186.858"," 71570.27"
