"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"1","-12.763698053","-12.89882931","-12.576373620","-12.71416534","-12.846701745","-1.275635e+01","-12.708830414","-12.52930015","-12.726831574","-12.671062405","-12.25477372","-1.292561e+01","-12.494895794","-12.883813307","-12.68391093","-12.803219920","-12.670949381","-12.79472192","-1.284738e+01","-12.661558865","-1.282911e+01","-12.588727555","-12.62336499","-1.283467e+01","-12.755795270","-12.779658177","-12.670723422","-12.775900530","-12.704047792","-11.83909367","-12.62225232","-12.688593400","-12.636944227","-12.201485695","-12.807532099","-12.86503789","-12.095519055","-12.801690174","-12.56250865","-12.662666194","-12.84942034","-12.571402971","-12.512110001","-1.286610e+01","-1.278668e+01","-1.163903e+01","-12.91676502","-12.802301426","-12.745208818","-12.731353497","-12.758275385","-12.738159939","-12.775900530","-12.687300681","-11.91741735","-12.106485364","-12.90305138","-12.61474099","-12.586581965","-12.789345444","-12.62559891","-12.516047421","-12.80691345","-12.38829962","-12.47494249","-12.583244787","-12.805370658","-12.92358549","-12.865745207","-12.657157565","-12.72670307","-12.68554406","-12.886403908","-12.76692807","-12.546604349","-1.269751e+01","-12.639880077","-12.940489449","-12.851470517","-12.471002473"," -1.29473140","-12.457072701","-12.77965818","-12.810326996","-12.009755610","-12.92846525","-12.655845827","-12.20978845","-12.844673907","-1.279986e+01","-12.771604803","-12.832701785","-1.267813e+01","-12.641672289","-12.806913446","-1.255630e+01","-12.780820947","-12.845686643","-12.622252321","-1.275841e+01","-12.793821208","-12.91398743","-12.871804400"," -1.515899028","-1.290848e+01","-12.766083136","-12.749656248","-12.821690000","-12.892760463","-12.32845479","-11.7744621","-12.886775259"
"a","-12.362024432","  0.10904330","-12.274435628"," -0.29481203","-12.416047453","-1.857512e-01"," -0.221852021","-12.53224620"," -0.541767541","-12.438418113","-12.08899727","-1.282911e+01","-12.431038390"," -0.373266996","-12.55725820"," -0.280280599"," -0.010222179"," -0.53549752","-1.276244e+01","  0.065925114"," 2.084720e-02"," -0.240449133"," -0.33184836"," 4.144298e-02"," -0.152547631","  0.090261017","-12.366934919","-10.582003876"," -0.253218810"," -0.90975850","-12.00718669"," -0.327994798","-11.978171007","-12.106932296"," -0.405895435"," -0.06260707","-12.289900796"," -0.481290711"," -0.04915014"," -0.196260600","-11.86776297","-12.500049785"," -0.204211549","-1.131320e+01","-3.503821e-01","-4.623239e-02","-12.39934413"," -0.896695731"," -0.201340274","-11.583726398","-12.545756448","-12.544065598","  0.384198699"," -0.655139002"," -9.91235900","-11.392379459"," -0.27237551","-12.30157032","  0.195251570"," -0.097474890"," -0.61550254","-11.900987991","  0.24900213","-12.07429793","-12.04551537"," -2.444352928"," -0.160003520","-12.15687224","  0.075287558","-12.175570798","-12.24597769"," -0.45938831"," -0.057937482","-12.24172971"," -0.298359993","-1.269787e+01"," -0.411857071","  0.043301822","  0.075992746","-12.329148697","-12.07594592","  0.780579106","-11.62406566","  0.134794330","-11.800910168","-12.13297800","-12.029122969","-12.30960988","-12.026046703","-2.178262e-01","  0.076207815","-12.487722150","-1.254525e+01","  0.023371867","-12.601154432","-1.050507e-01","-12.589757466"," -0.263791631","-12.687887803","-2.640298e-01","-12.182598311","  0.25895545"," -0.136903514"," -1.656044166","-7.316307e-05"," -0.168216917"," -0.168471025","  0.054961036"," -0.381521757"," -0.65721600","-11.7639482","  0.194221971"
"3","  0.530982858","  0.48445655","  0.759210642","  0.70818130","  0.523958663"," 5.564990e-01","  0.530104209","-12.10754179","  0.687618499","  0.736946250","-11.73907448","-1.264924e+01","-10.943662245","  0.724995521","  0.45083758","  0.442908983","  0.499274651","  0.58388904","-2.097634e-01","  0.384246257"," 3.633024e-01","  0.455434213","  0.53367375"," 6.813005e-01","  0.605017814","  0.511015864","  0.731630688"," -0.239080172","  0.738043684","  0.44947938","  0.65764436","  0.619406427"," -0.233699074","  0.082342749","  0.545272343","  0.25995382"," -0.054659969","  0.523777089","  0.59898704","  0.433045439","  0.40930975","-11.689422469","  0.578136059"," 4.357364e-01"," 6.712538e-01"," 5.781533e-01","  0.53779192","  0.520093282","  0.513096849","  0.426891262","  0.598674635","  0.359774171","  0.157579713","  0.249969347"," -0.14480963","  0.228165159","  0.52109921"," -0.96421901","  0.476511812","  0.642326744","  0.51037393","  0.452262733","  0.60232362"," -0.04119222","  0.40636204","  0.117152743","  0.800115365","  0.48254924","  0.611929338","  0.126049196","  0.37157684","  0.80066474","  0.378077141","  0.70352653","  0.565399476","-3.758622e-01","  0.772679744","  0.204595031","  0.303116323","  0.834059792"," -0.10269257","  0.186917083","  0.74617730","  0.379848954","  1.156148131","  0.49094687","  0.478194134"," -0.17783200","  0.512147306"," 6.108495e-01","  0.607255462","  0.695645567"," 2.768903e-01","  0.638718475"," -0.008603269"," 8.030826e-01","  0.061195321","  0.359076885","-12.334740215"," 4.079374e-01","  0.525165170","  0.33037131","  0.245122765","  0.690405549"," 4.801439e-01","  0.519460306","  0.637260595","  0.722016519","  0.449391345","  1.15263372","  1.1652801","  0.519671352"
"4","-12.541206174"," -0.00239616","-12.523306438","  0.04258455","-12.334505792","-2.982756e-01"," -0.295182830","-12.47906386"," -0.848744393","-12.497996020","-12.19069404","-1.280077e+01","-12.240071410","  0.292039438","-12.63164725"," -0.076240296","  0.520944504"," -0.25496706","-1.281002e+01","  0.218366756"," 3.627281e-02"," -0.593115722"," -0.16610990"," 5.212240e-03"," -0.561797090","  0.392965373","-12.559176003","  0.002617707"," -0.162810898","-11.63688153"," -0.10167202"," -0.565102944","-12.316575002","-12.364389043"," -0.057370161"," -0.27317766","-12.134692292"," -0.347123527","  0.05085459"," -0.003636206"," -0.35056087","-12.529871433","  0.512135265","-4.280014e-01","-5.943972e-01","-5.902463e-02","-12.53546046","  0.132045641"," -0.054928489","  0.219081910"," -1.306211028","-12.308725571","  0.666825141","  0.118730046","  0.09119360","  0.426284403","  0.03915707","-12.58352191"," -0.021604266","  0.140290261","  0.43177038"," -0.018877843"," -0.32595815","  0.73693589","-11.63011182","-12.571402971"," -0.288538325","-12.21448379","  0.256100629"," -1.270321855"," -0.26396869"," -0.35042370","  0.015548151"," -0.58084495","  0.430021902","-1.266567e+01"," -0.094193362","  0.133258717","  0.020444628","-12.501883544","-12.46677996","  0.069870770","-11.94120475"," -0.251855823","-11.867378649","-12.37839244"," -0.059956436","-12.52178077"," -0.345844721","-5.144262e-01","  0.179008736","-11.838921024","-1.260785e+01","  0.057970864","-12.170382719"," 4.913017e-02","  0.147291622"," -0.265253081","-12.721086010","-3.714487e-01","  0.338570333"," -0.13352519"," -0.057630248","-11.581242081","-1.213818e+01"," -0.423401209","  0.111110407","  0.002659909","  0.199422233","-12.05307696","-11.6753022","-12.155171675"
"5","  0.106938465","  0.29586118"," -0.599718088","  0.24644311","  0.240737204"," 1.336938e-01","  0.087364961","-12.50758687","  0.330416584"," -0.393519285","-12.09125204","-1.108886e-01","-11.963646299","  0.257481571"," -0.41754681","  0.121928707","  0.116526324","  0.04944829","-1.196878e+01","  0.188320655"," 1.070783e-01","  0.087517918"," -0.06416209","-3.099213e-01","  0.014313112"," -0.058646410"," -0.409160196","  0.238695250"," -0.009369452","-12.05108604"," -0.19301612","  0.038454788","-12.320616614","-12.427507916","  0.135198961","-12.60696707","-11.916113668","  0.172503879"," -0.05693650"," -0.394308843"," -0.07527163"," -0.065796157"," -0.383320713"," 9.256194e-02"," 1.982505e-01","-6.367452e-02","  0.24973124"," -0.005185867","  0.074304739"," -1.382836934"," -0.283989059"," -0.256135599","-11.397157012","  0.136478406"," -0.66099944"," -0.528988971"," -0.04713540","  0.07288982"," -0.657075584"," -0.266141029"," -1.15369357"," -0.095020613","  0.29299764","  0.07211005","  0.04465974","  0.204411280","  0.042860771","  0.35542806"," -0.240489037","-10.463687382"," -9.48213149"," -0.29790613"," -0.769233848"," -0.34549867"," -0.465784488","-1.260853e+01"," -0.237964271","  0.036529359","  0.159269600"," -0.394300278"," -1.53652584"," -0.113155159"," -0.15448567"," -0.224833086","-11.565448614","  0.41195299","-11.712774118","-12.48846390"," -0.086575588","-1.618458e-01","  0.208683884"," -0.245311908"," 2.169001e-01"," -0.021472314","  0.384873299","-2.143797e-01"," -1.838478973","  0.173670479","  0.709754329","-5.318356e-01","  0.013100545","  0.39002962","  0.422129391","  0.085039124"," 1.041740e-01"," -0.605935620"," -0.183427643"," -0.257949963"," -0.415414988"," -0.65088577","-11.4193317","  0.160705939"
"6","-12.661890767","-12.68263206","-12.605603813","-12.77475084","-12.361220619","-1.262084e+01","-12.700283438","-12.41008765","-12.627537505","-12.608628228","-12.25416731","-1.161641e+01","-12.501424378","-12.648593887","-12.32150023","-12.605701047","-12.510466871","-12.62205032","-1.247351e+01","-12.681704325","-1.258232e+01","-11.972397713","-12.68426037","-1.221425e+01","-12.428573749","-12.506424724","-12.616930879","-12.789048693","-12.658363483","-12.17808835","-12.09020478","-12.689535982","-12.586209899","-12.417652747","-12.639564571","-12.55917600","-12.308308605","-12.627742071","-12.74843879","-12.670046247","-12.73474338"," -0.776192128","-12.737632563","-1.274682e+01","-1.265836e+01","-1.095785e+00","-12.18386659","  0.028146819","-12.642624110","-12.715540677","-12.059796191","-11.070336640","-12.756620402","-12.712048342","-11.48063363"," -0.526432578"," -1.78271888","-12.59069587","-12.784915336","-12.570325984","-12.69607221","-12.388093355","-12.55018372","-11.07855930","-11.26834407","-12.602117819","-12.409654004","-12.28950151","-12.039348273","-12.776764798","-12.79202536","-12.59390171","-12.479790951","-12.47942725","-12.773317999","-1.269715e+01","-12.549670571","-12.558041732","-12.536869031","-12.515731111","-12.74884423","-12.452094370"," -0.80358692","-12.391168019","-11.933462518","-12.19524304","-12.683212898","-12.45032285","-12.662555334","-1.240758e+01","-12.626618147"," -0.802601109","-1.169067e+01","-12.706739203","-12.265081128","-1.271504e+01","-12.478120446","-12.514153004","-12.134511521","-1.251946e+01","-11.894874925","-12.67617917","-12.692732385"," -1.166699719","-1.236503e+01","-12.461899209","-12.581769789","-12.469436420","-12.013413878","-11.93755121","-11.7148368","-12.422377005"
"b"," -1.428049905"," -0.19887264","-12.276094154","-11.32219101","-11.681488622","-1.218201e+01","-11.994452095","-12.42986918","-12.064364424"," -0.712645459","-12.17696361","-6.960024e-01","-12.165167717"," -0.354516030","-12.05596056","-12.047790239","-12.150970507","-11.78698263","-1.244234e+01"," -0.385235416","-1.228074e+01","-11.718514066","-11.92675618","-1.088055e+00"," -0.469850183","-12.296864816"," -0.851503867"," -0.606005884","-12.385069560","-11.85440022"," -0.80390884","-11.920297290"," -0.386130080","-12.231770818","-12.049131206"," -0.34393023","-12.255380970","-11.796378101","-12.09452890","-12.180967862","-11.84620236","-12.008653659","-11.580981338","-1.185564e+01","-1.243604e+01","-1.238668e+01"," -0.56562980","-11.583342914","-11.878349950","-12.240343859"," -0.320680317","-12.082703194","-12.323247484","-12.555348828","-11.91161086","-11.993786145"," -0.35832858"," -0.96267858","-11.849663295"," -0.729274947","-12.12787534","-12.394653236"," -1.12850144","-12.27975158","-12.27170044"," -0.649449581","-12.220790850"," -0.66866520"," -0.471382508","-12.334219447","-12.26408359"," -0.30804234"," -0.701055893","-11.55183740","-11.875209518","-1.258770e+01"," -0.737994858"," -0.813754167","-12.115001749"," -0.817549550","-12.65891274","-12.508052603","-10.12201499"," -0.231802935","-11.821568092"," -0.51180089","-12.492042041","-12.12110798"," -0.399611030","-1.106976e+01"," -1.002387221","  0.114147126","-3.545971e-01","-12.382997387","-11.852121761","-1.199194e+01","  0.164444429","-12.117514519","-12.269542562","-9.318876e-01"," -1.007075410"," -0.78439265"," -1.240446598","-12.202426038","-4.969499e-01"," -0.727215244"," -0.625492076"," -0.605012996"," -0.266627360","-11.34782561","-11.6874562"," -0.985877069"
"8","-12.857679757","-12.81818632","-12.691308856","-12.83467436","-12.867163313","-1.291518e+01","-12.928874386","-12.51226681","-12.786977097","-12.748438789","-12.19543205","-1.261913e+01","-12.501577379","-12.920764076","-12.71341698","-12.868586065","-12.882707763","-12.89050633","-1.275033e+01","-12.917561890","-1.290576e+01","-12.777341934","-12.82845836","-1.275662e+01","-12.897684919","-12.871445627","-12.738687957","-12.874324143","-12.885662159","-12.13050463","-12.41986580","-12.875770587"," -1.473310871","-12.442973750","-12.901511327","-12.75305610","-12.344115925","-12.888636790","-12.89959391","-12.846701745","-12.89806605","-12.513130301","-12.864684659","-1.288938e+01","-1.285803e+01","-1.260067e+01","-12.93713904","-12.858375185","-12.875046763","-12.766787131","-12.835333881","-12.784915336","-12.764258072","-12.796528976","-12.15873581","-12.218053838","-12.81691923"," -1.09519894","-12.887518914","-12.883075965","-12.84332726","-12.730445338","-12.76833995","-10.98768268","-12.54406560"," -1.142650144","-12.842655494","-12.89921144","-12.901127165","-12.744137477","-12.83533388","-12.75360255","-12.932161399","-12.77004029","-12.869299192","-1.267322e+01","-12.879042809","-12.913592078","-12.898829306","-12.751965247","-12.62825391","-12.658143976","-12.93923001","-12.901127165","-12.046661380","-12.88566216","-12.749520806","-12.57041563","-12.799253733","-1.290848e+01","-12.879042809","-12.607650307","-1.271805e+01","-12.796528976","-12.809082599","-1.287722e+01","-12.818186322","-12.910050010","-12.563742943","-1.290421e+01","-12.819775400","-12.80016580","-12.926425351","-12.626108232","-1.289541e+01","-12.904210014","-12.888263845","-12.672080947","-12.842320002","-12.32594545","-11.7958071","-12.877221865"
"9","-12.591730467","-12.77160480","-12.573203904","-12.64741476","-12.391642982","-1.272274e+01","-12.697271257"," -0.35303066","-12.800774906","-12.461969048","-12.26304416","-1.279774e+01","-12.310052712","-12.753739272","-12.35454305","-12.703316657","-12.637676331","-12.72580457","-1.246819e+01","-12.681704325","-1.276510e+01","-12.600097170","-12.69715120","-1.259723e+01","-12.681704325","-12.724268601","-12.506579497","-12.704535901","-12.840980619","-12.33476627","-12.67196766","-12.661227215","-12.478555611","-12.261897040","-12.730834317"," -0.98396393","-12.333491419","-12.709200499","-12.70161544","-12.458664032","-12.67985479","-12.231318856","-12.580942298","-1.267652e+01","-1.274696e+01","-1.251400e+01","-12.53142585","-12.460887802","-12.687535435","-12.596750174","-12.484399864","-12.440806357","-12.700525317","-12.823613079","-12.12649405","-12.184327032","-12.57275297","-12.21680098","-12.709941616","-12.634547395","-12.58882108","-12.425255680","-12.66611697","-12.39170239","-12.24665783","-12.201830891","-12.620136019","-12.67196766","-12.520420217","-12.584076681","-12.35832264","-12.66222292","-12.744538920","-12.67230761","-12.585373913","-3.354008e-01","-12.732393724","-12.801690174","-12.744405065","-12.522904426","-12.71056018","-12.522583083","-12.22211559","-12.655845827","-11.941052126","-12.65236710","-12.695115351","-12.64977623","-12.435221243","-1.275648e+01","-12.642306604","-12.480810936","-1.241636e+01","-12.698834984","-12.467557506","-1.267219e+01","-11.490176611","-12.728118755","-12.334219447","-1.277792e+01","-12.779948578","-12.82619050","-12.729668425","-12.500889297","-1.276244e+01","-12.751012995","-12.634963286","-12.617330230","-12.584354333","-12.27986638","-11.7475650","-12.790832246"
"10","  0.263485059"," -0.40920077","  0.154390085"," -0.14959287"," -0.207014365","-1.684258e-01","  0.066874692","-12.38853547","  0.054857026"," -0.374839788","-12.01543258","-2.018514e-01"," -0.111612354","-11.180750207","  0.18548849","-12.333335572","  0.011756681","  0.02013846"," 1.223341e-01"," -0.033049265","-1.521960e+00"," -0.300091193"," -0.16551611","-1.316980e-01"," -0.190266031","  0.232440941"," -0.346294946"," -0.161484749","  0.282495449"," -0.03425344","  0.86933310","  0.202824470"," -0.075229132"," -0.003726821","  0.062293577","-12.57059498","-11.816893533"," -0.089489894","  0.21037484","  0.157306630","  0.12952614","  1.083993890","  0.473296024"," 2.710712e-01","-1.242468e+01","-1.909860e-01"," -0.09598842","  0.015447201","-12.374634775","  0.045932260","  0.060759394","  0.141166505"," -0.717197231","-12.193903473"," -0.04986470"," -0.069914925"," -0.05953987","-12.31710004"," -1.171662722","  0.189593320"," -0.02519010","-11.635491522","-12.03433597","  0.08879356","-11.91116363","-12.395431542"," -0.332862050"," -0.07295139"," -0.431862887","-12.630925235","-12.79652898","  0.46717099"," -0.600309539"," -0.34863942","  0.520646136","-1.266289e+01"," -0.575524559"," -1.275678901","-10.414679710","  0.330246741","-12.46847822"," -0.664243712"," -0.87851828"," -0.234542140"," -0.350717517"," -0.27335562","  0.107649053"," -0.28961549"," -0.028287274","-1.928856e-02"," -0.067799194","  0.382839480","-1.256145e+01","  0.024897015","  0.210193273"," 2.047378e-02","  0.075446263"," -1.161480796","-12.193790459"," 4.394218e-01","  0.131193177"," -1.91636034","-12.158666326","  0.111207876"," 1.443314e-02","  0.389228557","  0.138709889"," -0.460786179"," -0.100857214","-11.87469434","-11.0528892","  0.036808737"
"12","-12.379286437","-12.85802733","-12.603083347","-12.46646227","-11.388700280","-1.256180e+01","-12.398921078","-12.46915229","-12.102285177","-12.403322800","-12.19228641","-1.209933e+01","-12.270912471","-11.988876675","-12.45332505","-12.364165942","-12.571942467","-12.45807525","-5.007420e-02","-11.851554010","-1.159574e+01","-11.323506054","-11.81342426","-1.245343e+01"," -1.537340845","-12.271858206","-12.331521474","  0.091824568","-12.463017985","-11.88165092"," -0.21236116","-12.008905815","-12.060017583","-11.912689060","-12.455969117","-12.41366621","-12.258473752","-12.494971146","-12.34710794","-12.481175797","-12.21574978","-11.035299733","-12.610885838","-1.187100e+01","-1.188269e+01","-1.227744e+01","-12.16162932","-11.739358805","-12.464455641","-12.474942491","-11.847797756"," -0.918628457","-12.294151211","-12.557519220","  0.38521491","  0.815111000","-12.65715757","-12.58882108","-11.920975048","-12.377442785","-12.52962651"," -0.226563298","-12.71466496","-12.36901625","-11.90236249","-12.611871080","-12.278147667","-12.33474021","-12.282399519","-12.229413469","-12.37833483"," -0.46996089","-12.484032285","-11.80301309","-12.558477640","-1.269619e+01","-12.635900500"," -0.582334636","-11.962174338","-12.112066337","-12.69261358","-12.555608704"," -0.93596738"," -0.228882730","-11.815458755","-12.40064609","-12.475806903","-12.40368909","-12.266414753","-1.199851e+01","-12.228780193"," -0.894310923","-1.223997e+01"," -1.161708081"," -1.908529451","-1.250883e+01"," -0.128837281","-12.238899733","-12.610984262","-1.674352e-01","-12.407892910","-12.77734193","-12.056612361","-12.507121639","-6.383574e-01"," -0.232230542","-12.270687600","-12.664332501","-12.657048102","-11.91841017","-11.6491108"," -0.979157208"
"c","-12.792324156","-12.47826545","-12.704535901","-12.74413748","-12.704291778","-1.272350e+01","-12.714664957"," -1.52512159","-12.731353497","-12.633302105","-12.21276872","-1.259400e+01","-12.316425107","-12.815025504","-12.65792458","-12.713541620","-12.820731645","-12.71018894","-1.275662e+01","-12.649883872","-1.282137e+01","-12.595418564","-12.60076968","-1.275869e+01","-12.751829083","-12.736185571","-12.637048738","-12.642518249","-12.850102659","-12.37360780","-12.27129502","-12.673897606","-12.540536095"," -0.981275308","-12.709323931","-12.83997879"," -0.150154474","-12.734481682","-12.60337342","-12.759243712","-12.68170433","-12.380964033","-12.712421180","-1.258817e+01","-1.270502e+01","-1.253192e+01","-12.73239372","-12.434040738","-12.722101904","-12.735922999","-12.528241196","-12.665670165","-12.724779987","-12.486537979","-11.93405758","-12.192399030","-12.86574521"," -0.81159822","-12.852156065","-12.858027332","-12.77561282","-12.639564571","-12.69715120"," -1.32911771","-12.47768572","-11.831328338","-12.681356936","-12.73842387","-12.849420342","-12.636944227","-12.46748676","-12.75456050","-12.886775259","-12.72146669","-12.686362933","-1.199694e+01","-12.530034794","-12.848398873","-12.800470245","-12.692970094","-12.35722372","-12.705146809","-12.72734599","-12.729668425","-11.942765675","-12.78315587","-12.714664957","-12.65858310","-12.667908801","-1.281946e+01","-12.549328809","-12.798646752","-1.232951e+01","-12.684610094","-12.745342921","-1.274134e+01","-12.732263559","-12.639039236","-12.242129482","-1.279653e+01","-12.828458363","-12.62154574","-12.738687957","-12.521380161","-1.285250e+01","-12.788455800","-12.832046246","-12.888263845","-12.883813307","-12.30328752","-11.7753612","-12.822650475"
"14","-12.476095423","-12.59107180","-12.632163718","-12.72324763","-12.600001182","-1.266400e+01","-12.693207933","-12.47660079","-12.610295764","-12.353344845","-12.21664214","-1.229777e+01","-12.430128736","-12.707353221","-12.55769332","-12.627639776","-12.581953890","-12.64262411","-1.249898e+01","-12.401769517","-1.244331e+01","-12.653776976","-12.69059884","-1.243254e+01","-12.628868912","-12.449745263","-12.354297694","-12.848739096","-12.562420621","-12.23296461"," -0.93810520","-12.697511464","-12.417873546","-12.154164839","-12.682515983","-12.67378384","-10.791407609","-12.657705295","-12.55760626","-12.654973530","-12.59182464","-12.391405435","-12.695952487","-1.246526e+01","-1.238198e+01","-1.245624e+01","-12.70698471","-12.354679419","-12.616133277","-12.679854785","-12.240406756","-12.566933042","-12.675836169","-12.576555448"," -1.90686459","-12.031080229","-12.70821431"," -1.96085134","-12.537118077","-12.718178482","-12.62336499"," -0.119322088","-12.55465659","-12.37195833","-12.48132183","-11.791374335","-12.279178076","-12.67027185","-12.527834592","-12.816603037","-12.83302993","-12.26324301","-12.570057155","-12.65682926","-12.654211705","-1.271354e+01","-12.770182285","-12.639144252","-12.523628317","-12.509608658","-12.67015904","-12.553361603","-12.70539141","-12.515336046","-11.918415166","-12.70526909","-12.666899986","-12.49542354","-12.639354361","-1.257665e+01","-12.352421219","-12.771604803","-1.218749e+01","-12.596845445","-12.602117819","-1.270405e+01","-12.602503773","-12.391999546","-12.587233849","-1.252516e+01","-12.712172586","-12.59942570","-12.043965365","-12.075587128","-1.247065e+01","-12.637781018","-12.682399939","-12.469152289","-12.593239746","-12.26726150","-11.6986061","-12.402804421"
"15","-10.689470874"," -0.32824538","-11.717775495"," -0.55055206","-11.809247665","-1.570564e+00","-12.040815642","-12.44491690","-11.553889922","-11.071670978","-12.20263742","-2.257489e-01","-11.618182575","-11.860802678"," -0.66783202"," -0.781508163","-12.090687246"," -0.81026735","-7.913941e-01"," -1.091397357","-1.187241e+01","-12.393697232"," -0.66949892","-4.407158e-01","-12.033788388","-12.208832049","-11.132223270"," -0.652313855","-12.117253902","-11.68057777"," -0.56232943","-11.995691575"," -0.951834966","  0.344995098"," -0.984388645","-12.69012614","  0.819333547"," -1.221228195"," -0.81854645","-11.365542979"," -0.82055761"," -0.544661448"," -2.587361728","-2.636633e-01","-1.226836e+01","-1.212486e+01","-11.88078897","-12.547283863"," -0.875792064","-12.176637617","-11.968591051","-12.163952808"," -0.432798585"," -0.849201526","-11.89127518","-11.915289693","-12.32439080"," -0.38819438"," -0.791929430","-12.262889562"," -0.22101906","-12.240113314","-12.14906343","-12.09955545","-12.14710548"," -0.706736465"," -0.655614524","-12.10047358","-12.563389930","-12.737369115","-12.78169507"," -0.68191780","-12.142855619","-12.00077573"," -1.357496276","-1.270735e+01","-12.297868855","-12.005938448","-11.676563936","-12.260533269","-12.56728895","-12.353181710"," -0.71256179"," -1.566142356","-11.871118505","-12.20906608","-11.569211427","-12.34491534"," -1.083049923","-1.164669e+01","-11.248393171"," -0.969728734","-1.257275e+01"," -0.964327275","-12.611772456","-1.191856e+01"," -0.635505232","-11.464045775","-12.204119947","-1.108737e+01"," -0.380289208"," -0.49841513"," -1.061807219","-11.216885383","-8.144198e-01","-11.477516471","-12.165449921","-11.902583974","-12.348907709","-11.98330232","-11.6772370"," -0.634998784"
